str_date,str_time,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
2016.04.04,17:15,159.083,159.096,158.958,158.816,158.71,158.593,158.728,158.821,158.825,158.659,158.66
2016.04.04,17:30,159.096,158.958,158.816,158.71,158.593,158.728,158.821,158.825,158.659,158.66,158.709
2016.04.04,17:45,158.958,158.816,158.71,158.593,158.728,158.821,158.825,158.659,158.66,158.709,158.652
2016.04.04,18:00,158.816,158.71,158.593,158.728,158.821,158.825,158.659,158.66,158.709,158.652,158.747
2016.04.04,18:15,158.71,158.593,158.728,158.821,158.825,158.659,158.66,158.709,158.652,158.747,158.82
2016.04.04,18:30,158.593,158.728,158.821,158.825,158.659,158.66,158.709,158.652,158.747,158.82,158.794
2016.04.04,18:45,158.728,158.821,158.825,158.659,158.66,158.709,158.652,158.747,158.82,158.794,158.769
2016.04.04,19:00,158.821,158.825,158.659,158.66,158.709,158.652,158.747,158.82,158.794,158.769,158.814
2016.04.04,19:15,158.825,158.659,158.66,158.709,158.652,158.747,158.82,158.794,158.769,158.814,158.863
2016.04.04,19:30,158.659,158.66,158.709,158.652,158.747,158.82,158.794,158.769,158.814,158.863,158.964
2016.04.04,19:45,158.66,158.709,158.652,158.747,158.82,158.794,158.769,158.814,158.863,158.964,158.877
2016.04.04,20:00,158.709,158.652,158.747,158.82,158.794,158.769,158.814,158.863,158.964,158.877,158.845
2016.04.04,20:15,158.652,158.747,158.82,158.794,158.769,158.814,158.863,158.964,158.877,158.845,158.758
2016.04.04,20:30,158.747,158.82,158.794,158.769,158.814,158.863,158.964,158.877,158.845,158.758,158.77
2016.04.04,20:45,158.82,158.794,158.769,158.814,158.863,158.964,158.877,158.845,158.758,158.77,158.765
2016.04.04,21:00,158.794,158.769,158.814,158.863,158.964,158.877,158.845,158.758,158.77,158.765,158.73
2016.04.04,21:15,158.769,158.814,158.863,158.964,158.877,158.845,158.758,158.77,158.765,158.73,158.778
2016.04.04,21:30,158.814,158.863,158.964,158.877,158.845,158.758,158.77,158.765,158.73,158.778,158.705
2016.04.04,21:45,158.863,158.964,158.877,158.845,158.758,158.77,158.765,158.73,158.778,158.705,158.731
2016.04.04,22:00,158.964,158.877,158.845,158.758,158.77,158.765,158.73,158.778,158.705,158.731,158.788
2016.04.04,22:15,158.877,158.845,158.758,158.77,158.765,158.73,158.778,158.705,158.731,158.788,158.782
2016.04.04,22:30,158.845,158.758,158.77,158.765,158.73,158.778,158.705,158.731,158.788,158.782,158.803
2016.04.04,22:45,158.758,158.77,158.765,158.73,158.778,158.705,158.731,158.788,158.782,158.803,158.745
2016.04.04,23:00,158.77,158.765,158.73,158.778,158.705,158.731,158.788,158.782,158.803,158.745,158.732
2016.04.04,23:15,158.765,158.73,158.778,158.705,158.731,158.788,158.782,158.803,158.745,158.732,158.71
2016.04.04,23:30,158.73,158.778,158.705,158.731,158.788,158.782,158.803,158.745,158.732,158.71,158.649
2016.04.04,23:45,158.778,158.705,158.731,158.788,158.782,158.803,158.745,158.732,158.71,158.649,158.683
2016.04.05,00:00,158.705,158.731,158.788,158.782,158.803,158.745,158.732,158.71,158.649,158.683,158.566
2016.04.05,00:15,158.731,158.788,158.782,158.803,158.745,158.732,158.71,158.649,158.683,158.566,158.616
2016.04.05,00:30,158.788,158.782,158.803,158.745,158.732,158.71,158.649,158.683,158.566,158.616,158.433
2016.04.05,00:45,158.782,158.803,158.745,158.732,158.71,158.649,158.683,158.566,158.616,158.433,158.381
2016.04.05,01:00,158.803,158.745,158.732,158.71,158.649,158.683,158.566,158.616,158.433,158.381,158.393
2016.04.05,01:15,158.745,158.732,158.71,158.649,158.683,158.566,158.616,158.433,158.381,158.393,158.385
2016.04.05,01:30,158.732,158.71,158.649,158.683,158.566,158.616,158.433,158.381,158.393,158.385,158.31
2016.04.05,01:45,158.71,158.649,158.683,158.566,158.616,158.433,158.381,158.393,158.385,158.31,158.333
2016.04.05,02:00,158.649,158.683,158.566,158.616,158.433,158.381,158.393,158.385,158.31,158.333,158.344
2016.04.05,02:15,158.683,158.566,158.616,158.433,158.381,158.393,158.385,158.31,158.333,158.344,158.195
2016.04.05,02:30,158.566,158.616,158.433,158.381,158.393,158.385,158.31,158.333,158.344,158.195,158.084
2016.04.05,02:45,158.616,158.433,158.381,158.393,158.385,158.31,158.333,158.344,158.195,158.084,158.052
2016.04.05,03:00,158.433,158.381,158.393,158.385,158.31,158.333,158.344,158.195,158.084,158.052,158.089
2016.04.05,03:15,158.381,158.393,158.385,158.31,158.333,158.344,158.195,158.084,158.052,158.089,158.04
2016.04.05,03:30,158.393,158.385,158.31,158.333,158.344,158.195,158.084,158.052,158.089,158.04,158.08
2016.04.05,03:45,158.385,158.31,158.333,158.344,158.195,158.084,158.052,158.089,158.04,158.08,158.146
2016.04.05,04:00,158.31,158.333,158.344,158.195,158.084,158.052,158.089,158.04,158.08,158.146,158.226
2016.04.05,04:15,158.333,158.344,158.195,158.084,158.052,158.089,158.04,158.08,158.146,158.226,158.131
2016.04.05,04:30,158.344,158.195,158.084,158.052,158.089,158.04,158.08,158.146,158.226,158.131,158.174
2016.04.05,04:45,158.195,158.084,158.052,158.089,158.04,158.08,158.146,158.226,158.131,158.174,158.156
2016.04.05,05:00,158.084,158.052,158.089,158.04,158.08,158.146,158.226,158.131,158.174,158.156,158.006
2016.04.05,05:15,158.052,158.089,158.04,158.08,158.146,158.226,158.131,158.174,158.156,158.006,158.028
2016.04.05,05:30,158.089,158.04,158.08,158.146,158.226,158.131,158.174,158.156,158.006,158.028,157.903
2016.04.05,05:45,158.04,158.08,158.146,158.226,158.131,158.174,158.156,158.006,158.028,157.903,157.797
2016.04.05,06:00,158.08,158.146,158.226,158.131,158.174,158.156,158.006,158.028,157.903,157.797,157.874
2016.04.05,06:15,158.146,158.226,158.131,158.174,158.156,158.006,158.028,157.903,157.797,157.874,157.79
2016.04.05,06:30,158.226,158.131,158.174,158.156,158.006,158.028,157.903,157.797,157.874,157.79,157.833
2016.04.05,06:45,158.131,158.174,158.156,158.006,158.028,157.903,157.797,157.874,157.79,157.833,157.521
2016.04.05,07:00,158.174,158.156,158.006,158.028,157.903,157.797,157.874,157.79,157.833,157.521,157.192
2016.04.05,07:15,158.156,158.006,158.028,157.903,157.797,157.874,157.79,157.833,157.521,157.192,157.211
2016.04.05,07:30,158.006,158.028,157.903,157.797,157.874,157.79,157.833,157.521,157.192,157.211,157.086
2016.04.05,07:45,158.028,157.903,157.797,157.874,157.79,157.833,157.521,157.192,157.211,157.086,157.305
2016.04.05,08:00,157.903,157.797,157.874,157.79,157.833,157.521,157.192,157.211,157.086,157.305,157.151
2016.04.05,08:15,157.797,157.874,157.79,157.833,157.521,157.192,157.211,157.086,157.305,157.151,157.056
2016.04.05,08:30,157.874,157.79,157.833,157.521,157.192,157.211,157.086,157.305,157.151,157.056,157.109
2016.04.05,08:45,157.79,157.833,157.521,157.192,157.211,157.086,157.305,157.151,157.056,157.109,156.963
2016.04.05,09:00,157.833,157.521,157.192,157.211,157.086,157.305,157.151,157.056,157.109,156.963,157.2
2016.04.05,09:15,157.521,157.192,157.211,157.086,157.305,157.151,157.056,157.109,156.963,157.2,157.233
2016.04.05,09:30,157.192,157.211,157.086,157.305,157.151,157.056,157.109,156.963,157.2,157.233,157.185
2016.04.05,09:45,157.211,157.086,157.305,157.151,157.056,157.109,156.963,157.2,157.233,157.185,157.077
2016.04.05,10:00,157.086,157.305,157.151,157.056,157.109,156.963,157.2,157.233,157.185,157.077,156.906
2016.04.05,10:15,157.305,157.151,157.056,157.109,156.963,157.2,157.233,157.185,157.077,156.906,156.85
2016.04.05,10:30,157.151,157.056,157.109,156.963,157.2,157.233,157.185,157.077,156.906,156.85,156.891
2016.04.05,10:45,157.056,157.109,156.963,157.2,157.233,157.185,157.077,156.906,156.85,156.891,156.885
2016.04.05,11:00,157.109,156.963,157.2,157.233,157.185,157.077,156.906,156.85,156.891,156.885,156.857
2016.04.05,11:15,156.963,157.2,157.233,157.185,157.077,156.906,156.85,156.891,156.885,156.857,156.686
2016.04.05,11:30,157.2,157.233,157.185,157.077,156.906,156.85,156.891,156.885,156.857,156.686,156.917
2016.04.05,11:45,157.233,157.185,157.077,156.906,156.85,156.891,156.885,156.857,156.686,156.917,156.98
2016.04.05,12:00,157.185,157.077,156.906,156.85,156.891,156.885,156.857,156.686,156.917,156.98,156.872
2016.04.05,12:15,157.077,156.906,156.85,156.891,156.885,156.857,156.686,156.917,156.98,156.872,156.994
2016.04.05,12:30,156.906,156.85,156.891,156.885,156.857,156.686,156.917,156.98,156.872,156.994,156.907
2016.04.05,12:45,156.85,156.891,156.885,156.857,156.686,156.917,156.98,156.872,156.994,156.907,156.841
2016.04.05,13:00,156.891,156.885,156.857,156.686,156.917,156.98,156.872,156.994,156.907,156.841,156.842
2016.04.05,13:15,156.885,156.857,156.686,156.917,156.98,156.872,156.994,156.907,156.841,156.842,156.885
2016.04.05,13:30,156.857,156.686,156.917,156.98,156.872,156.994,156.907,156.841,156.842,156.885,156.927
2016.04.05,13:45,156.686,156.917,156.98,156.872,156.994,156.907,156.841,156.842,156.885,156.927,156.798
2016.04.05,14:00,156.917,156.98,156.872,156.994,156.907,156.841,156.842,156.885,156.927,156.798,156.597
2016.04.05,14:15,156.98,156.872,156.994,156.907,156.841,156.842,156.885,156.927,156.798,156.597,156.453
2016.04.05,14:30,156.872,156.994,156.907,156.841,156.842,156.885,156.927,156.798,156.597,156.453,156.302
